flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao,flight_duration,delay_outlier,flight_duration_outlier
2025-07-06,scheduled,Auckland International,Pacific/Auckland,AKL,NZAA,I,unknown,0.0,2025-07-06 00:25:00+00:00,2025-07-06 00:25:00+00:00,null,null,null,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,unknown,unknown,2025-07-06 07:55:00+00:00,Myanmar Airways International,8M,MMA,9588,8M9588,MMA9588,malaysia airlines,mh,mas,132.0,mh132,mas132,7.5,False,False
2025-07-05,scheduled,Pokhara,Asia/Kathmandu,PKR,VNPK,unknown,unknown,0.0,2025-07-05 16:25:00+00:00,2025-07-05 16:25:00+00:00,null,null,null,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,D,unknown,unknown,2025-07-05 16:50:00+00:00,Sharp Airlines,SH,SHA,662,SH662,SHA662,N/A,N/A,N/A,N/A,N/A,N/A,0.4166666666666667,False,True
2025-07-05,scheduled,Bhairawa,Asia/Kathmandu,BWA,VNBW,unknown,unknown,0.0,2025-07-05 16:20:00+00:00,2025-07-05 16:20:00+00:00,null,null,null,Tribhuvan International,Asia/Kathmandu,KTM,VNKT,D,unknown,unknown,2025-07-05 16:50:00+00:00,Yeti Airlines,YT,NYT,878,YT878,NYT878,N/A,N/A,N/A,N/A,N/A,N/A,0.5,False,True
2025-07-05,scheduled,Dublin International,Europe/Dublin,DUB,EIDW,unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null,Dyce,Europe/London,ABZ,EGPD,unknown,unknown,unknown,2025-07-05 09:20:00+00:00,Aer Lingus,EI,EIN,3242,EI3242,EIN3242,N/A,N/A,N/A,N/A,N/A,N/A,1.3333333333333333,True,False
2025-07-05,scheduled,Dublin International,Europe/Dublin,DUB,EIDW,unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null,Dyce,Europe/London,ABZ,EGPD,unknown,unknown,unknown,2025-07-05 09:20:00+00:00,Qatar Airways,QR,QTR,8243,QR8243,QTR8243,aer lingus,ei,ein,3242.0,ei3242,ein3242,1.3333333333333333,True,False
2025-07-05,scheduled,Dublin International,Europe/Dublin,DUB,EIDW,unknown,unknown,630.0,2025-07-05 08:00:00+00:00,2025-07-05 08:00:00+00:00,null,null,null,Dyce,Europe/London,ABZ,EGPD,unknown,unknown,unknown,2025-07-05 09:20:00+00:00,British Airways,BA,BAW,8982,BA8982,BAW8982,aer lingus,ei,ein,3242.0,ei3242,ein3242,1.3333333333333333,True,False
2025-07-05,active,Albury,Australia/Sydney,ABX,YMAY,unknown,unknown,12.0,2025-07-05 10:10:00+00:00,2025-07-05 10:10:00+00:00,2025-07-05 10:21:00+00:00,2025-07-05 10:21:00+00:00,2025-07-05 10:21:00+00:00,Sydney Kingsford Smith Airport,Australia/Sydney,SYD,YSSY,3,16,QFR,2025-07-05 11:30:00+00:00,QantasLink,QLK,QLK,2204,QLK2204,QLK2204,N/A,N/A,N/A,N/A,N/A,N/A,1.3333333333333333,False,False
2025-07-05,active,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,"J,K",110.0,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,Urumqi,Asia/Shanghai,URC,ZWWW,unknown,unknown,unknown,2025-07-05 18:40:00+00:00,Shenzhen Airlines,ZH,CSZ,1293,ZH1293,CSZ1293,air china ltd,ca,cca,1293.0,ca1293,cca1293,4.166666666666667,True,False
2025-07-05,active,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,"J,K",110.0,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,2025-07-05 14:30:00+00:00,Urumqi,Asia/Shanghai,URC,ZWWW,unknown,unknown,unknown,2025-07-05 18:40:00+00:00,Shandong Airlines,SC,CDG,5721,SC5721,CDG5721,air china ltd,ca,cca,1293.0,ca1293,cca1293,4.166666666666667,True,False
2025-07-05,scheduled,Portland International,America/Los_Angeles,PDX,KPDX,unknown,D15,0.0,2025-07-05 06:55:00+00:00,2025-07-05 06:55:00+00:00,null,null,null,John F Kennedy International,America/New_York,JFK,KJFK,4,B55,unknown,2025-07-05 15:25:00+00:00,Delta Air Lines,DL,DAL,451,DL451,DAL451,N/A,N/A,N/A,N/A,N/A,N/A,8.5,False,False
